Set,ID,Number,Name,Rarity,Owned,Link
CB18,CB18-001 (A),001,The WildFierceMonster Horoboros［Ultra Kaiju 2020］(A),Rebirth Rare,TRUE,https://img.yuyu-tei.jp/images/gamelogo/bs.svg
CB18,CB18-001 (B),001,The ParasiticDevastationMonster Metsuboros［Ultra Kaiju 2020］(B),Rebirth Rare,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb18/10001.jpg
CB18,CB18-002,002,New Generation Ultraman Victory,Common,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb18/10002.jpg
CB18,CB18-003,003,The BrutalSpaceKaiju Kelbim［Ultra Kajiu 2020］,Common,FALSE,https://img.yuyu-tei.jp/card_image/bs/front/cb18/10003.jpg
CB18,CB18-004,004,The FerociousSpaceShark Genegarg［Ultra Kajiu 2020］,Common,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb18/10004.jpg
CB18,CB18-005,005,The BombingThunderMonster Grigio-Raiden［Ultra Kaiju 2020］,Common,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb18/10005.jpg
CB18,CB18-006,006,New Generation Ultraman Ginga,Common,FALSE,https://img.yuyu-tei.jp/card_image/bs/front/cb18/10006.jpg
CB18,CB18-007,007,New Generation Ultraman Fuma,Common,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb18/10007.jpg
CB18,CB18-008,008,The SpaceRobot King Joe［Ultra Kaiju 2020］,Common,FALSE,https://img.yuyu-tei.jp/card_image/bs/front/cb18/10008.jpg
CB18,CB18-009,009,The SkullKaiju Red King A［Ultra Kaiju 2020］,Common,FALSE,https://img.yuyu-tei.jp/card_image/bs/front/cb18/10009.jpg
CB18,CB18-010,010,The SkullKaiju Red King B［Ultra Kaiju 2020］,Common,FALSE,https://img.yuyu-tei.jp/card_image/bs/front/cb18/10010.jpg
CB18,CB18-011,011,New Generation Ultraman Orb Orb Origin,Rare,FALSE,https://img.yuyu-tei.jp/card_image/bs/front/cb18/10011.jpg
CB18,CB18-012 (A),012,New Generation Ultraman Taiga (A),Rebirth Rare,TRUE,https://img.yuyu-tei.jp/images/gamelogo/bs.svg
CB18,CB18-012 (B),012,New Generation Ultraman Taiga Tri-Strium (B),Rebirth Rare,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb18/10012.jpg
CB18,CB18-013 (A),013,New Generation Ultraman Geed Primitive (A),Rebirth Rare,TRUE,https://img.yuyu-tei.jp/images/gamelogo/bs.svg
CB18,CB18-013 (B),013,New Generation Ultraman Geed Ultimate Final (B),Rebirth Rare,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb18/10013.jpg
CB18,CB18-014,014,New Generation Ultraman X,Common,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb18/10014.jpg
CB18,CB18-015,015,New Generation Ultraman Titas,Common,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb18/10015.jpg
CB18,CB18-016,016,The CombinationKingDemonBeast Zeppandon［Ultra Kaiju 2020］,Master Rare,FALSE,https://img.yuyu-tei.jp/card_image/bs/front/cb18/10016.jpg
CB18,CB18-016,073,The CombinationKingDemonBeast Zeppandon［Ultra Kaiju 2020］ (w/ Parallel Art),Master Rare (Secret),FALSE,https://img.yuyu-tei.jp/card_image/bs/front/cb18/10073.jpg
CB18,CB18-017,017,The LastJudgementer Gillvalis［Ultra Kaiju 2020］,Rare,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb18/10017.jpg
CB18,CB18-018,018,The HitmanTerrible-Monster Baraba［Ultra Kaiju 2020］,Common,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb18/10018.jpg
CB18,CB18-019,019,New Generation Ultraman Ginga Victory,Common,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb18/10019.jpg
CB18,CB18-020,020,The BrutalSpaceKaiju Mother Kelbim［Ultra Kaiju 2020］,Common,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb18/10020.jpg
CB18,CB18-021,021,New Generation Ultraman Exceed X Beta Spark Armor,Rare,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb18/10021.jpg
CB18,CB18-022,022,New Generation Ultraman Taiga Photon-Earth,Master Rare,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb18/10022.jpg
CB18,CB18-023,023,New Generation Ultraman Gruebe,Common,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb18/10023.jpg
CB18,CB18-024,024,New Generation Ultrawoman Grigio,Common,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb18/10024.jpg
CB18,CB18-025,025,New Generation Ultraman Blu Aqua,Common,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb18/10025.jpg
CB18,CB18-026,026,New Generation Ultraman Rosso Flame,Common,FALSE,https://img.yuyu-tei.jp/card_image/bs/front/cb18/10026.jpg
CB18,CB18-027,027,The PirateAlien Barossa Seijin (The Second)［Ultra Kaiju 2020］,Common,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb18/10027.jpg
CB18,CB18-028,028,The VoidKaiju Greeza［Ultra Kaiju 2020］,Rare,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb18/10028.jpg
CB18,CB18-029 (A),029,Ultraman Belial (Rebirth) (A),Rebirth Rare,TRUE,https://img.yuyu-tei.jp/images/gamelogo/bs.svg
CB18,CB18-029 (B),029,The HundredBodyKaiju Belyudra (Reborn) (B),Rebirth Rare,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb18/10029.jpg
CB18,CB18-030,030,Ultraman Tregear,Common,FALSE,https://img.yuyu-tei.jp/card_image/bs/front/cb18/10030.jpg
CB18,CB18-031,031,The MaliciousDemonicMonster Grimdo,Rare,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb18/10031.jpg
CB18,CB18-032,032,Ultraman Zett Alpha Edge,Rare,FALSE,https://img.yuyu-tei.jp/card_image/bs/front/cb18/10032.jpg
CB18,CB18-033 (A),033,Ultraman Zett Alpha Edge (A),Rebirth Rare,TRUE,https://img.yuyu-tei.jp/images/gamelogo/bs.svg
CB18,CB18-033 (B),033,Ultraman Zett Gamma Future (B),Rebirth Rare,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb18/10033.jpg
CB18,CB18-034,034,Ultraman Zett Beta Smash,Common,FALSE,https://img.yuyu-tei.jp/card_image/bs/front/cb18/10034.jpg
CB18,CB18-035,035,Ultraman Geed Galaxy Rising,Rare,FALSE,https://img.yuyu-tei.jp/card_image/bs/front/cb18/10035.jpg
CB18,CB18-036,036,Ultraman Ace,Master Rare,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb18/10036.jpg
CB18,CB18-037,037,Ultraman Zett Gamma Future,Common,FALSE,https://img.yuyu-tei.jp/card_image/bs/front/cb18/10037.jpg
CB18,CB18-038 (A),038,Special Aircraft No. 4 Ultroid Zero (A),Rebirth Rare,TRUE,https://img.yuyu-tei.jp/images/gamelogo/bs.svg
CB18,CB18-038 (B),038,The AnnihilationArmorMonster Destrudos［Ultra Kaiju 2020］(B),Rebirth Rare,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb18/10038.jpg
CB18,CB18-039,039,Special Aircraft No. 1 Sevenger,Rare,FALSE,https://img.yuyu-tei.jp/card_image/bs/front/cb18/10039.jpg
CB18,CB18-040,040,Special Aircraft No. 2 Windom,Rare,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb18/10040.jpg
CB18,CB18-041,041,Special Aircraft No. 3 King Joe STORAGE Custom,Rare,FALSE,https://img.yuyu-tei.jp/card_image/bs/front/cb18/10041.jpg
CB18,CB18-042,042,Ultraman Dyna Strong Type,Common,FALSE,https://img.yuyu-tei.jp/card_image/bs/front/cb18/10042.jpg
CB18,CB18-043,043,Ultraman Zett Original,Common,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb18/10043.jpg
